Track URI,Track Name,Artist Name(s),Artist Genres,Danceability,Energy,Speechiness,Valence,Tempo,Mood
spotify:track:6ybViy2qrO9sIi41EgRJgx,Don't Know Why,Norah Jones,"contemporary vocal jazz,jazz pop,vocal jazz",0.732,0.198,0.028,0.618,88.174,Calm
spotify:track:5RWcE4Poc4Un93zzhwKvrK,Unchained Melody,The Righteous Brothers,"adult standards,brill building pop,folk rock,rock-and-roll,rockabilly",0.376,0.199,0.0288,0.247,98.97,Calm
spotify:track:6Sueudn0VQA4AXRsFKQbFl,Amazing Grace,Judy Collins,"american folk revival,folk,folk rock,mellow gold,singer-songwriter",0.192,0.263,0.0332,0.196,87.747,Calm
spotify:track:3zByVQLvdXUaDTubfWkpCk,Sweet Caroline,Neil Diamond,"adult standards,brill building pop,folk rock,heartland rock,mellow gold,singer-songwriter,soft rock,yacht rock",0.529,0.127,0.0274,0.578,63.05,Calm
spotify:track:7ddUIAiI2kH0rLBbi27wrH,Never Gonna Fall in Love Again - Live,Mark Holden,,0.557,0.38,0.0259,0.569,99.83,Calm
spotify:track:1PWnAEQcbwQwK759otUbta,"Writing's On The Wall - From ""Spectre"" Soundtrack",Sam Smith,"pop,uk pop",0.261,0.302,0.0339,0.0883,81.418,Calm
spotify:track:2nwCO1PqpvyoFIvq3Vrj8N,These Boots Are Made For Walkin',Nancy Sinatra,"lounge,sunshine pop",0.74,0.392,0.0824,0.387,82.742,Calm
spotify:track:6XriyFFLuomM8z2qmKKmpl,In The Still Of The Nite (I'll Remember),Boyz II Men,"boy band,contemporary r&b,new jack swing,r&b,urban contemporary",0.485,0.259,0.0375,0.238,78.158,Calm
spotify:track:6jGnykaS6TkWp15utXSAeI,Come Away With Me,Norah Jones,"contemporary vocal jazz,jazz pop,vocal jazz",0.436,0.141,0.0308,0.146,76.64,Calm
spotify:track:1dbt3sOwRmUOLfQZSpSz9O,Truly,Lionel Richie,soft rock,0.366,0.238,0.0381,0.131,68.362,Calm
spotify:track:6T86nVmtbovYi2KSNTRUq7,Too Young to Be Married - 1999 Remaster,The Hollies,"album rock,british invasion,classic rock,folk rock,mellow gold,merseybeat,soft rock",0.482,0.327,0.0306,0.361,93.701,Calm
spotify:track:5lK18Pt33xNudq4qYDxIm8,Shallow,"Lady Gaga, Bradley Cooper","art pop,dance pop,pop,hollywood",0.572,0.385,0.0308,0.323,95.799,Calm
spotify:track:57EyDAxErYua949EnLk9WO,For You,John Denver,"classic country pop,folk,folk rock,mellow gold,singer-songwriter,soft rock",0.27,0.114,0.0341,0.437,90.493,Calm
spotify:track:0yjNmllr3Ew6f97TqPuEqa,The Ballad Of The Green Berets,Sgt. Barry Sadler,military cadence,0.715,0.327,0.033,0.713,84.369,Calm
spotify:track:5DTOOkooKFUvWj1XQTFa09,The End of the World,Skeeter Davis,nashville sound,0.232,0.216,0.0314,0.432,94.268,Calm
spotify:track:4z51Gf7Ppt9Lmu5zmnUIz9,Baby Don't Get Hooked on Me,Mac Davis,"bubblegum pop,classic country pop,country rock",0.495,0.307,0.0403,0.802,80.97,Calm
spotify:track:6mqfq8EdYoV07TXM2rgPgb,Hurt,Timi Yuro,northern soul,0.493,0.244,0.0277,0.222,87.044,Calm
spotify:track:6XYktvAOFBlDr4TUKHUxPS,Our Winter Love,Bill Pursell,,0.434,0.149,0.0282,0.306,76.455,Calm
spotify:track:4PXBKAIwXNzUa67cbInmXo,Are You Sure,Willie Nelson,"classic country pop,classic texas country,country,country rock,nashville sound,outlaw country,singer-songwriter",0.586,0.0205,0.0559,0.253,94.463,Calm
spotify:track:24mZHxxTvEpNUAmcY1o9vw,Joanne,"Michael Nesmith, The First National Band",country rock,0.408,0.28,0.0302,0.466,71.544,Calm
spotify:track:6MQdBUknEEIKktUGg4NMzO,She Cried,Jay & The Americans,"bubblegum pop,classic garage rock,doo-wop,merseybeat,rock-and-roll",0.418,0.368,0.0271,0.552,99.952,Calm
spotify:track:0Si6MQzSdOyfWTy0LP5ojD,Release Me,"Eddie Miller, Robert Yount, Dub Williams, Engelbert Humperdinck","new orleans jazz,adult standards",0.205,0.299,0.0293,0.275,87.107,Calm
spotify:track:126MvlJjQXgM7IC0SC5qQz,There's Always Me - alt. take 2,"Elvis Presley, The Jordanaires","rock-and-roll,rockabilly,country gospel",0.462,0.151,0.0277,0.326,72.466,Calm
spotify:track:4qjrCkcVbsYlitCqbBkeKe,Colors Of The Wind - End Title,Vanessa Williams,"contemporary r&b,quiet storm,urban contemporary",0.574,0.238,0.0476,0.126,84.018,Calm
spotify:track:2vdId18EePzFhwfp4ryqFq,Shape Of My Heart,Sting,"permanent wave,soft rock,sophisti-pop",0.537,0.373,0.0331,0.244,83.936,Calm
spotify:track:07PIhdmyYIw8dMeDMsx9FU,Words,Bee Gees,"disco,mellow gold,soft rock",0.259,0.289,0.0285,0.246,80.326,Calm
spotify:track:1mXVgsBdtIVeCLJnSnmtdV,Too Good At Goodbyes,Sam Smith,"pop,uk pop",0.681,0.372,0.0432,0.476,91.873,Calm
spotify:track:0W1uTK6I97CbjFKAVtRGfK,Too Much Love Will Kill You - Remastered 2011,Queen,"classic rock,glam rock,rock",0.385,0.395,0.0313,0.21,72.933,Calm
spotify:track:1f21MoeMJNbGkhaM6rnvWD,Breakin' In A Brand New Broken Heart,Connie Francis,"adult standards,brill building pop,easy listening,rock-and-roll,rockabilly",0.256,0.163,0.0297,0.261,83.139,Calm
spotify:track:0vnCaQ0QtDnMYI5tVuhZiV,This Love of Mine,Michael Bublé,"adult standards,canadian pop,jazz pop,lounge",0.163,0.172,0.0312,0.107,55.305,Calm
spotify:track:1vuxzuOz2FVHuUVPY68rGd,Sukiyaki,4 P.M.,contemporary r&b,0.363,0.388,0.034,0.348,76.099,Calm
spotify:track:43rA71bccXFGD4C8GOpIlN,I Forgot That You Existed,Taylor Swift,pop,0.664,0.316,0.519,0.541,92.875,Calm
spotify:track:5znn63OxSBuhiLG5LiB1uv,If I Only Had Time,John Rowles,classic nz pop,0.37,0.228,0.034,0.284,81.223,Calm
spotify:track:0kcEK7YuNNfE7jiTnXS1cm,Atlantis,Donovan,"british folk,british invasion,classic rock,folk,folk rock,glam rock,psychedelic folk,psychedelic rock,scottish singer-songwriter,singer-songwriter",0.291,0.313,0.0347,0.341,77.893,Calm
spotify:track:1jeWrScZZuhw3b55T1fv4O,Tell Him (Duet with Barbra Streisand),"Barbra Streisand, Céline Dion","adult standards,operatic pop,canadian pop",0.261,0.38,0.0491,0.0793,74.463,Calm
spotify:track:3Ymi51lilmxnc9eRnfi32D,My Island Home,Warumpi Band,"australian indigenous,australian rock",0.488,0.364,0.0321,0.544,79.707,Calm
spotify:track:7hxZF4jETnE5Q75rKQnMjE,I Walk the Line,Johnny Cash,"arkansas country,outlaw country,rock",0.713,0.258,0.0384,0.56,98.805,Calm
spotify:track:1tuc39i6BfB04XeSnUVMgy,Young Emotions - Remastered,"Ricky Nelson, Bob Fisher","adult standards,doo-wop,rock-and-roll,rockabilly",0.511,0.222,0.0333,0.398,78.08,Calm
spotify:track:1sEGwuvScFU2uNzlI7Aepy,Kissing a Fool - Remastered,George Michael,new wave pop,0.28,0.384,0.031,0.143,77.949,Calm
spotify:track:1bhUWB0zJMIKr9yVPrkEuI,Perfect Duet (Ed Sheeran & Beyoncé),"Ed Sheeran, Beyoncé","pop,singer-songwriter pop,uk pop,pop,r&b",0.587,0.299,0.0263,0.356,94.992,Calm
spotify:track:753mHSQFnp1jpiYuqU3byN,Stay with Me,Jasmine Thompson,viral pop,0.404,0.185,0.0512,0.147,75.342,Calm
spotify:track:4IUYyOxm7ujsmNRdDBqXKu,When I Fall in Love,Rick Astley,"new romantic,new wave pop,soft rock,sophisti-pop,synthpop",0.196,0.123,0.0344,0.142,74.448,Calm
spotify:track:77aOp6RlPq5PnqewZ1akVh,Wonderland by Night (Wunderland bei Nacht),Bert Kaempfert,"ballroom,easy listening",0.261,0.19,0.03,0.176,79.845,Calm
spotify:track:2nyoYdCYZXrdiLwNDw9t12,Chanson d'Amour,The Manhattan Transfer,"a cappella,vocal jazz",0.47,0.314,0.0265,0.575,98.927,Calm
spotify:track:0OKXjd9ZpZioaHyowpQ7as,Talk It Over,Grayson Hugh,r&b/soul,0.835,0.381,0.0307,0.78,95.082,Calm
spotify:track:4ZYCwq1EMPY5zZt195ARWg,Better Be Home Soon,Crowded House,"australian rock,permanent wave",0.437,0.373,0.028,0.355,93.519,Calm
spotify:track:2dobXqehyY5tmMjrvWS1vX,Petals and Leaves,"ponders, Mason Parks",,0.741,0.395,0.0609,0.172,93.998,Calm
spotify:track:5v4sUZA2Oyni7EtBL586V7,Jean,Oliver,pop,0.323,0.127,0.0321,0.394,92.637,Calm
spotify:track:54bFM56PmE4YLRnqpW6Tha,Therefore I Am,Billie Eilish,"art pop,electropop,pop",0.889,0.34,0.0697,0.716,94.009,Calm
